ticker,action,target_weight,current_weight,change
ETF061,BUY,0.15000000000000002,0.0,0.15000000000000002
ETF016,BUY,0.15000000000000002,0.0,0.15000000000000002
ETF014,BUY,0.15000000000000002,0.0,0.15000000000000002
ETF000,BUY,0.15000000000000002,0.0,0.15000000000000002
ETF097,BUY,0.15000000000000002,0.0,0.15000000000000002
ETF059,BUY,0.15000000000000002,0.0,0.15000000000000002
ETF065,BUY,0.09999999999999994,0.0,0.09999999999999994
ETF084,BUY,0.0,0.0,0.0
ETF034,BUY,0.0,0.0,0.0
ETF006,BUY,0.0,0.0,0.0
ETF075,BUY,0.0,0.0,0.0
ETF043,BUY,0.0,0.0,0.0
ETF023,BUY,0.0,0.0,0.0
ETF096,BUY,0.0,0.0,0.0
ETF083,BUY,0.0,0.0,0.0
ETF057,BUY,0.0,0.0,0.0
ETF012,BUY,0.0,0.0,0.0
ETF069,BUY,0.0,0.0,0.0
ETF079,BUY,0.0,0.0,0.0
ETF035,BUY,0.0,0.0,0.0
