ticker,action,target_weight,current_weight,change
DWX,BUY,0.15000000000000002,0.0,0.15000000000000002
VASGX,BUY,0.15000000000000002,0.0,0.15000000000000002
DTH,BUY,0.15000000000000002,0.0,0.15000000000000002
SPLG,BUY,0.15000000000000002,0.0,0.15000000000000002
VSS,BUY,0.15000000000000002,0.0,0.15000000000000002
ITOT,BUY,0.15000000000000002,0.0,0.15000000000000002
URTH,BUY,0.09999999999999994,0.0,0.09999999999999994
VYMI,BUY,0.0,0.0,0.0
ESGV,BUY,0.0,0.0,0.0
IWB,BUY,0.0,0.0,0.0
SCHB,BUY,0.0,0.0,0.0
VV,BUY,0.0,0.0,0.0
FVAL,BUY,0.0,0.0,0.0
AOA,BUY,0.0,0.0,0.0
BAR,BUY,0.0,0.0,0.0
FDMO,BUY,0.0,0.0,0.0
XLC,BUY,0.0,0.0,0.0
QQQ,BUY,0.0,0.0,0.0
MGK,BUY,0.0,0.0,0.0
CWI,BUY,0.0,0.0,0.0
