ticker,action,target_weight,current_weight,change
EWC,BUY,0.15000000000000002,0.0,0.15000000000000002
IOO,BUY,0.15000000000000002,0.0,0.15000000000000002
VOO,BUY,0.15000000000000002,0.0,0.15000000000000002
SPYG,BUY,0.15000000000000002,0.0,0.15000000000000002
AVDV,BUY,0.15000000000000002,0.0,0.15000000000000002
VASGX,BUY,0.15000000000000002,0.0,0.15000000000000002
ITOT,BUY,0.09999999999999994,0.0,0.09999999999999994
URTH,BUY,0.0,0.0,0.0
SPMO,BUY,0.0,0.0,0.0
VBIAX,BUY,0.0,0.0,0.0
VYMI,BUY,0.0,0.0,0.0
DGSIX,BUY,0.0,0.0,0.0
IUSG,BUY,0.0,0.0,0.0
EFAV,BUY,0.0,0.0,0.0
SRLN,BUY,0.0,0.0,0.0
QQQ,BUY,0.0,0.0,0.0
DIM,BUY,0.0,0.0,0.0
XLC,BUY,0.0,0.0,0.0
ACWI,BUY,0.0,0.0,0.0
SPY,BUY,0.0,0.0,0.0
