ticker,action,target_weight,current_weight,change
SCHX,BUY,0.15000000000000002,0.0,0.15000000000000002
IWB,BUY,0.15000000000000002,0.0,0.15000000000000002
BBUS,BUY,0.15000000000000002,0.0,0.15000000000000002
VSS,BUY,0.15000000000000002,0.0,0.15000000000000002
SCHB,BUY,0.15000000000000002,0.0,0.15000000000000002
SUSL,BUY,0.15000000000000002,0.0,0.15000000000000002
DIM,BUY,0.09999999999999994,0.0,0.09999999999999994
VSMGX,BUY,0.0,0.0,0.0
AOR,BUY,0.0,0.0,0.0
VOO,BUY,0.0,0.0,0.0
ACWI,BUY,0.0,0.0,0.0
SRLN,BUY,0.0,0.0,0.0
DGSIX,BUY,0.0,0.0,0.0
VEU,BUY,0.0,0.0,0.0
DEMZ,BUY,0.0,0.0,0.0
MTUM,BUY,0.0,0.0,0.0
SPLG,BUY,0.0,0.0,0.0
SPYG,BUY,0.0,0.0,0.0
ACWX,BUY,0.0,0.0,0.0
IVV,BUY,0.0,0.0,0.0
